{file: DummyFemale_Loop_Able_Dizzy-0.png; posX: 2.980232E-10; posY: 0}
{file: DummyFemale_Loop_Able_Dizzy-290.png; posX: -0.02916647; posY: 0.01026326}
{file: DummyFemale_Loop_Able_Dizzy-291.png; posX: -0.02236529; posY: 0.009800136}
{file: DummyFemale_Loop_Able_Dizzy-292.png; posX: -0.015384; posY: 0.009322226}
{file: DummyFemale_Loop_Able_Dizzy-293.png; posX: -0.00839109; posY: 0.00883168}
{file: DummyFemale_Loop_Able_Dizzy-294.png; posX: -0.001540093; posY: 0.008330762}
{file: DummyFemale_Loop_Able_Dizzy-295.png; posX: 0.004985783; posY: 0.0078215}
{file: DummyFemale_Loop_Able_Dizzy-296.png; posX: 0.0109724; posY: 0.007306099}
{file: DummyFemale_Loop_Able_Dizzy-297.png; posX: 0.01622258; posY: 0.006786764}
{file: DummyFemale_Loop_Able_Dizzy-298.png; posX: 0.02070043; posY: 0.006265581}
{file: DummyFemale_Loop_Able_Dizzy-299.png; posX: 0.02458104; posY: 0.005744696}
{file: DummyFemale_Loop_Able_Dizzy-300.png; posX: 0.02801778; posY: 0.005226374}
{file: DummyFemale_Loop_Able_Dizzy-301.png; posX: 0.03100821; posY: 0.004712641}
{file: DummyFemale_Loop_Able_Dizzy-302.png; posX: 0.03354951; posY: 0.004205763}
{file: DummyFemale_Loop_Able_Dizzy-303.png; posX: 0.03563917; posY: 0.003707767}
{file: DummyFemale_Loop_Able_Dizzy-304.png; posX: 0.03722598; posY: 0.003220975}
{file: DummyFemale_Loop_Able_Dizzy-305.png; posX: 0.03824673; posY: 0.002747357}
{file: DummyFemale_Loop_Able_Dizzy-306.png; posX: 0.03868043; posY: 0.002289236}
{file: DummyFemale_Loop_Able_Dizzy-307.png; posX: 0.03850616; posY: 0.001848698}
{file: DummyFemale_Loop_Able_Dizzy-308.png; posX: 0.03770297; posY: 0.001427829}
{file: DummyFemale_Loop_Able_Dizzy-309.png; posX: 0.036388; posY: 0.001028955}
{file: DummyFemale_Loop_Able_Dizzy-310.png; posX: 0.03471715; posY: 0.0006540418}
{file: DummyFemale_Loop_Able_Dizzy-311.png; posX: 0.03272783; posY: 0.0003054142}
{file: DummyFemale_Loop_Able_Dizzy-312.png; posX: 0.03045726; posY: -1.490116E-05}
{file: DummyFemale_Loop_Able_Dizzy-313.png; posX: 0.02794291; posY: -0.0003046989}
{file: DummyFemale_Loop_Able_Dizzy-314.png; posX: 0.02522197; posY: -0.0005617738}
{file: DummyFemale_Loop_Able_Dizzy-315.png; posX: 0.02233192; posY: -0.0007840991}
{file: DummyFemale_Loop_Able_Dizzy-316.png; posX: 0.01930992; posY: -0.0009766221}
{file: DummyFemale_Loop_Able_Dizzy-317.png; posX: 0.0161935; posY: -0.001146376}
{file: DummyFemale_Loop_Able_Dizzy-318.png; posX: 0.0130198; posY: -0.001294136}
{file: DummyFemale_Loop_Able_Dizzy-319.png; posX: 0.009826329; posY: -0.001420736}
{file: DummyFemale_Loop_Able_Dizzy-320.png; posX: 0.006636128; posY: -0.001527011}
{file: DummyFemale_Loop_Able_Dizzy-321.png; posX: 0.00347424; posY: -0.001613617}
{file: DummyFemale_Loop_Able_Dizzy-322.png; posX: 0.0003807002; posY: -0.001681507}
{file: DummyFemale_Loop_Able_Dizzy-323.png; posX: -0.002613531; posY: -0.001731336}
{file: DummyFemale_Loop_Able_Dizzy-324.png; posX: -0.005481117; posY: -0.001763999}
{file: DummyFemale_Loop_Able_Dizzy-325.png; posX: -0.008188235; posY: -0.001780212}
{file: DummyFemale_Loop_Able_Dizzy-326.png; posX: -0.01070074; posY: -0.001780748}
{file: DummyFemale_Loop_Able_Dizzy-327.png; posX: -0.0129848; posY: -0.001766503}
{file: DummyFemale_Loop_Able_Dizzy-328.png; posX: -0.01500629; posY: -0.001738191}
{file: DummyFemale_Loop_Able_Dizzy-329.png; posX: -0.01673133; posY: -0.001696646}
{file: DummyFemale_Loop_Able_Dizzy-330.png; posX: -0.01811298; posY: -0.001642585}
{file: DummyFemale_Loop_Able_Dizzy-331.png; posX: -0.01874822; posY: -0.0015769}
{file: DummyFemale_Loop_Able_Dizzy-332.png; posX: -0.01830277; posY: -0.001500309}
{file: DummyFemale_Loop_Able_Dizzy-333.png; posX: -0.01697079; posY: -0.001413643}
{file: DummyFemale_Loop_Able_Dizzy-334.png; posX: -0.01497667; posY: -0.00131762}
{file: DummyFemale_Loop_Able_Dizzy-335.png; posX: -0.01254462; posY: -0.001213133}
{file: DummyFemale_Loop_Able_Dizzy-336.png; posX: -0.009899025; posY: -0.001100957}
{file: DummyFemale_Loop_Able_Dizzy-337.png; posX: -0.007264288; posY: -0.0009818077}
{file: DummyFemale_Loop_Able_Dizzy-338.png; posX: -0.004864587; posY: -0.0008565784}
{file: DummyFemale_Loop_Able_Dizzy-339.png; posX: -0.002924374; posY: -0.0007259846}
{file: DummyFemale_Loop_Able_Dizzy-340.png; posX: -0.001616857; posY: -0.0005908012}
{file: DummyFemale_Loop_Able_Dizzy-341.png; posX: -0.0008517446; posY: -0.0004518628}
{file: DummyFemale_Loop_Able_Dizzy-342.png; posX: -0.0003398929; posY: -0.0003100038}
{file: DummyFemale_Loop_Able_Dizzy-343.png; posX: -3.667022E-05; posY: -0.0001659393}
{file: DummyFemale_Loop_Able_Dizzy-344.png; posX: 0.0001026722; posY: -2.0504E-05}
{file: DummyFemale_Loop_Able_Dizzy-345.png; posX: 0.0001228086; posY: 0.0001255274}
{file: DummyFemale_Loop_Able_Dizzy-346.png; posX: 6.844656E-05; posY: 0.0002713799}
{file: DummyFemale_Loop_Able_Dizzy-347.png; posX: -1.571556E-05; posY: 0.0004162192}
{file: DummyFemale_Loop_Able_Dizzy-348.png; posX: -8.497632E-05; posY: 0.0005592704}
{file: DummyFemale_Loop_Able_Dizzy-349.png; posX: -9.463842E-05; posY: 0.0006997585}
